gene_symbol,cell_type
ZIC3,Endothelial
C9orf16,S1 Pyramidal
KIAA1239,S1 Pyramidal
C2orf82,S1 Pyramidal
KIAA1107,S1 Pyramidal
ADCYAP1,S1 Pyramidal
ADRB1,S1 Pyramidal
AGBL4,S1 Pyramidal
AKAP6,S1 Pyramidal
ARHGAP15,S1 Pyramidal
ARHGAP20,S1 Pyramidal
ARPP19,S1 Pyramidal
ATP1A1,S1 Pyramidal
ATP2A2,S1 Pyramidal
ATP2B2,S1 Pyramidal
B4GALT2,S1 Pyramidal
BSN,S1 Pyramidal
CACNA1A,S1 Pyramidal
CACNA1I,S1 Pyramidal
CACNB3,S1 Pyramidal
CADM3,S1 Pyramidal
CALML3,S1 Pyramidal
CAMK2N1,S1 Pyramidal
CAMKK2,S1 Pyramidal
CA10,S1 Pyramidal
CCKBR,S1 Pyramidal
CDH18,S1 Pyramidal
CHRM4,S1 Pyramidal
CNTNAP5,S1 Pyramidal
COL5A1,S1 Pyramidal
COL6A1,S1 Pyramidal
CORO2A,S1 Pyramidal
CPNE9,S1 Pyramidal
CYP26B1,S1 Pyramidal
DACT2,S1 Pyramidal
DOC2A,S1 Pyramidal
DTL,S1 Pyramidal
C17orf96,S1 Pyramidal
E2F1,S1 Pyramidal
EMX1,S1 Pyramidal
EPHA8,S1 Pyramidal
ERC2,S1 Pyramidal
EVI5,S1 Pyramidal
EXPH5,S1 Pyramidal
FAM171A2,S1 Pyramidal
FAP,S1 Pyramidal
FBXL2,S1 Pyramidal
FHOD3,S1 Pyramidal
FRZB,S1 Pyramidal
FST,S1 Pyramidal
FSTL4,S1 Pyramidal
GALT,S1 Pyramidal
GDPD5,S1 Pyramidal
GFRA2,S1 Pyramidal
GOLGA7B,S1 Pyramidal
GP1BB,S1 Pyramidal
GPR26,S1 Pyramidal
GPR88,S1 Pyramidal
GRIK3,S1 Pyramidal
GRM2,S1 Pyramidal
GRM8,S1 Pyramidal
GSG1L,S1 Pyramidal
GTDC1,S1 Pyramidal
HBQ1,S1 Pyramidal
HKDC1,S1 Pyramidal
HS3ST2,S1 Pyramidal
HTR1F,S1 Pyramidal
HTR2A,S1 Pyramidal
IGSF21,S1 Pyramidal
ILDR2,S1 Pyramidal
IPCEF1,S1 Pyramidal
KAZALD1,S1 Pyramidal
KCNH1,S1 Pyramidal
KCNH4,S1 Pyramidal
KCNH5,S1 Pyramidal
KCNH7,S1 Pyramidal
KCNJ11,S1 Pyramidal
KCNJ9,S1 Pyramidal
KCNS1,S1 Pyramidal
KCNT1,S1 Pyramidal
KCNT2,S1 Pyramidal
KLHDC8A,S1 Pyramidal
KLHL1,S1 Pyramidal
KRT222,S1 Pyramidal
LPCAT4,S1 Pyramidal
LRRK2,S1 Pyramidal
MAPK11,S1 Pyramidal
MAT2B,S1 Pyramidal
MCTP1,S1 Pyramidal
MEF2C,S1 Pyramidal
MGAT4C,S1 Pyramidal
MYRIP,S1 Pyramidal
NECAB3,S1 Pyramidal
NEGR1,S1 Pyramidal
NKX3-1,S1 Pyramidal
NPNT,S1 Pyramidal
NTSR1,S1 Pyramidal
NXPH3,S1 Pyramidal
OPN3,S1 Pyramidal
OPRK1,S1 Pyramidal
OSBP2,S1 Pyramidal
OSBPL1A,S1 Pyramidal
OVOL2,S1 Pyramidal
PACS1,S1 Pyramidal
PAK1,S1 Pyramidal
PCDH7,S1 Pyramidal
PCP4,S1 Pyramidal
PCSK5,S1 Pyramidal
PDZRN3,S1 Pyramidal
PFKP,S1 Pyramidal
PI4KA,S1 Pyramidal
PIP5K1C,S1 Pyramidal
POU6F1,S1 Pyramidal
PPARG,S1 Pyramidal
PPM1L,S1 Pyramidal
PRDM8,S1 Pyramidal
PRRT2,S1 Pyramidal
PRRT3,S1 Pyramidal
PSMB10,S1 Pyramidal
PTPRK,S1 Pyramidal
RASGEF1C,S1 Pyramidal
RPRM,S1 Pyramidal
RPS6KA3,S1 Pyramidal
RRAGD,S1 Pyramidal
SAMD12,S1 Pyramidal
SCN4B,S1 Pyramidal
SCUBE1,S1 Pyramidal
SDK2,S1 Pyramidal
SEC16B,S1 Pyramidal
SEMA3A,S1 Pyramidal
SEMA5B,S1 Pyramidal
SHF,S1 Pyramidal
SKAP1,S1 Pyramidal
SLC24A2,S1 Pyramidal
SLCO4C1,S1 Pyramidal
SLIT2,S1 Pyramidal
SOX5,S1 Pyramidal
SSTR2,S1 Pyramidal
ST3GAL5,S1 Pyramidal
STARD10,S1 Pyramidal
STAT4,S1 Pyramidal
STRBP,S1 Pyramidal
STX1A,S1 Pyramidal
SULT2B1,S1 Pyramidal
TBR1,S1 Pyramidal
TCAP,S1 Pyramidal
TIAM2,S1 Pyramidal
TMEM132A,S1 Pyramidal
TMEM132D,S1 Pyramidal
TMEM215,S1 Pyramidal
TNNC1,S1 Pyramidal
TPBG,S1 Pyramidal
TRHDE,S1 Pyramidal
TRHR,S1 Pyramidal
TSPAN11,S1 Pyramidal
TTL,S1 Pyramidal
UCHL5,S1 Pyramidal
VOPP1,S1 Pyramidal
WNT10A,S1 Pyramidal
AASS,Astrocyte
ACSBG1,Astrocyte
ACSL3,Astrocyte
ACSL6,Astrocyte
ADCY2,Astrocyte
ADD3,Astrocyte
ADK,Astrocyte
AGPAT3,Astrocyte
AGPAT5,Astrocyte
AIFM2,Astrocyte
AKT2,Astrocyte
ALDH7A1,Astrocyte
ALDOC,Astrocyte
ALPK1,Astrocyte
AMT,Astrocyte
ARHGEF10L,Astrocyte
ASPG,Astrocyte
B3GALTL,Astrocyte
BAALC,Astrocyte
BMPR1B,Astrocyte
CA5B,Astrocyte
CA8,Astrocyte
CHRDL1,Astrocyte
CHST11,Astrocyte
CKB,Astrocyte
CLDN10,Astrocyte
CLYBL,Astrocyte
COL16A1,Astrocyte
CRY2,Astrocyte
CSPG5,Astrocyte
CTH,Astrocyte
CTNNBIP1,Astrocyte
CYP4F12,Astrocyte
DBX2,Astrocyte
DHRS4,Astrocyte
DHRS7,Astrocyte
DTX1,Astrocyte
DZIP1L,Astrocyte
ELMO2,Astrocyte
EPHX2,Astrocyte
EYA1,Astrocyte
FABP7,Astrocyte
FAM107A,Astrocyte
FAM181A,Astrocyte
FAM184A,Astrocyte
FARP1,Astrocyte
FBXO2,Astrocyte
FGFBP3,Astrocyte
FREM2,Astrocyte
FRMPD1,Astrocyte
FZD8,Astrocyte
FZD9,Astrocyte
GABRG1,Astrocyte
GFAP,Astrocyte
GLDC,Astrocyte
GLI2,Astrocyte
GLUD1,Astrocyte
GM2A,Astrocyte
GPC2,Astrocyte
GPC6,Astrocyte
GYS1,Astrocyte
HADHB,Astrocyte
HDAC8,Astrocyte
HEPH,Astrocyte
HEY1,Astrocyte
HIF3A,Astrocyte
HSD11B1,Astrocyte
HTRA1,Astrocyte
IGDCC4,Astrocyte
IL33,Astrocyte
L2HGDH,Astrocyte
LGI4,Astrocyte
LGR4,Astrocyte
LRP4,Astrocyte
LRRC16A,Astrocyte
LRRC2,Astrocyte
LSAMP,Astrocyte
LUZP2,Astrocyte
LXN,Astrocyte
MAPKAPK3,Astrocyte
MARCH2,Astrocyte
MFAP3L,Astrocyte
MPV17L2,Astrocyte
"NAT6",Astrocyte
NCAN,Astrocyte
NTSR2,Astrocyte
PAG1,Astrocyte
PCDHGC3,Astrocyte
PDGFRL,Astrocyte
PGM1,Astrocyte
POLR3H,Astrocyte
PPP1R14B,Astrocyte
PPP1R3D,Astrocyte
PRKD1,Astrocyte
PROCA1,Astrocyte
PTPLB,Astrocyte
RAB34,Astrocyte
RANBP3L,Astrocyte
RBM20,Astrocyte
RCN2,Astrocyte
RELT,Astrocyte
RGMA,Astrocyte
RGS20,Astrocyte
RLBP1,Astrocyte
ROM1,Astrocyte
SDSL,Astrocyte
SESN3,Astrocyte
SLC1A4,Astrocyte
SLC26A6,Astrocyte
SLC30A10,Astrocyte
SLC46A1,Astrocyte
SLC7A11,Astrocyte
SNTA1,Astrocyte
SPRY4,Astrocyte
SRC,Astrocyte
SYCP2,Astrocyte
TFCP2L1,Astrocyte
THBS4,Astrocyte
TM7SF2,Astrocyte
TMEM218,Astrocyte
TMIE,Astrocyte
TPRKB,Astrocyte
TRPS1,Astrocyte
TTYH1,Astrocyte
UGP2,Astrocyte
WASF3,Astrocyte
XPR1,Astrocyte
ZDHHC18,Astrocyte
ZNF219,Astrocyte
ZMPSTE24,Astrocyte
ADAMTS16,Mural
ADAMTS8,Mural
ADAMTSL1,Mural
AMIGO2,Mural
ARHGAP10,Mural
ARHGEF7,Mural
ARID3B,Mural
ASB2,Mural
BMP5,Mural
C1R,Mural
C1S,Mural
CNN1,Mural
DES,Mural
DOK6,Mural
DSTN,Mural
EIF4E3,Mural
ERRFI1,Mural
FGL2,Mural
FILIP1L,Mural
FLNA,Mural
FRK,Mural
FSTL1,Mural
C11orf96,Mural
GPR20,Mural
GUCY1B3,Mural
HSPB2,Mural
IL34,Mural
ITGA8,Mural
LGALS8,Mural
LIPG,Mural
MND1,Mural
MOB2,Mural
MOXD1,Mural
MRVI1,Mural
MUSTN1,Mural
MYLK,Mural
MYOM1,Mural
"NAB1",Mural
NEXN,Mural
NRIP2,Mural
OBSCN,Mural
OR51E2,Mural
PALLD,Mural
PARP8,Mural
PASK,Mural
PDE3A,Mural
PLA2R1,Mural
PLCE1,Mural
RASL11A,Mural
RASL12,Mural
RCCD1,Mural
RCN3,Mural
SLC19A1,Mural
SLC38A11,Mural
ST5,Mural
SUSD5,Mural
TRAF3IP2,Mural
DFNB31,Mural
WTIP,Mural
